Id,Balance_open,Income,Outcome,Balance_close,Date,Number_day
680315,0,0,0,197000,2022-08-31,0
606139,0,0,0,102000,2022-08-31,0
609468,0,0,0,426000,2022-08-31,0
629520,0,0,0,134000,2022-08-31,0
698682,0,0,0,372000,2022-08-31,0
635206,0,0,0,530000,2022-08-31,0
686165,0,0,0,368000,2022-08-31,0
619173,0,0,0,486000,2022-08-31,0
619589,0,0,0,57000,2022-08-31,0
676489,0,0,0,289000,2022-08-31,0
609123,0,0,0,226000,2022-08-31,0
658891,0,0,0,214000,2022-08-31,0
606170,0,0,0,247000,2022-08-31,0
622459,0,0,0,337000,2022-08-31,0
619593,0,0,0,183000,2022-08-31,0
663189,0,0,0,14000,2022-08-31,0
606515,0,0,0,401000,2022-08-31,0
658930,0,0,0,45000,2022-08-31,0
668132,0,0,0,196000,2022-08-31,0
635710,0,0,0,197000,2022-08-31,0
698942,0,0,0,107000,2022-08-31,0
608021,0,0,0,659000,2022-08-31,0
639717,0,0,0,76000,2022-08-31,0
634913,0,0,0,346000,2022-08-31,0
645368,0,0,0,79000,2022-08-31,0
676390,0,0,0,127000,2022-08-31,0
636033,0,0,0,82000,2022-08-31,0
695156,0,0,0,503000,2022-08-31,0
607709,0,0,0,320000,2022-08-31,0
686140,0,0,0,82000,2022-08-31,0
693953,0,0,0,40000,2022-08-31,0
634828,0,0,0,496000,2022-08-31,0
659671,0,0,0,269000,2022-08-31,0
638745,0,0,0,395000,2022-08-31,0
699577,0,0,0,375000,2022-08-31,0
688242,0,0,0,44000,2022-08-31,0
676360,0,0,0,146000,2022-08-31,0
649971,0,0,0,147000,2022-08-31,0
662955,0,0,0,355000,2022-08-31,0
607732,0,0,0,582000,2022-08-31,0
616794,0,0,0,377000,2022-08-31,0
644723,0,0,0,370000,2022-08-31,0
667113,0,0,0,100000,2022-08-31,0
686170,0,0,0,266000,2022-08-31,0
634793,0,0,0,307000,2022-08-31,0
695012,0,0,0,458000,2022-08-31,0
680612,0,0,0,64000,2022-08-31,0
698674,0,0,0,98000,2022-08-31,0
676358,0,0,0,62000,2022-08-31,0
607754,0,0,0,250000,2022-08-31,0
645353,0,0,0,328000,2022-08-31,0
687619,0,0,0,99000,2022-08-31,0
636066,0,0,0,237000,2022-08-31,0
635784,0,0,0,332000,2022-08-31,0
607798,0,0,0,572000,2022-08-31,0
605368,0,0,0,257000,2022-08-31,0
676352,0,0,0,240000,2022-08-31,0
698678,0,0,0,247000,2022-08-31,0
658906,0,0,0,206000,2022-08-31,0
607538,0,0,0,76000,2022-08-31,0
607783,0,0,0,35000,2022-08-31,0
619166,0,0,0,455000,2022-08-31,0
667813,0,0,0,262000,2022-08-31,0
667152,0,0,0,418000,2022-08-31,0
698960,0,0,0,524000,2022-08-31,0
606017,0,0,0,25000,2022-08-31,0
616766,0,0,0,169000,2022-08-31,0
635715,0,0,0,337000,2022-08-31,0
644013,0,0,0,522000,2022-08-31,0
627739,0,0,0,329000,2022-08-31,0
676369,0,0,0,359000,2022-08-31,0
635507,0,0,0,132000,2022-08-31,0
686146,0,0,0,327000,2022-08-31,0
634936,0,0,0,318000,2022-08-31,0
648591,0,0,0,352000,2022-08-31,0
634759,0,0,0,82000,2022-08-31,0
688361,0,0,0,9000,2022-08-31,0
607034,0,0,0,502000,2022-08-31,0
634692,0,0,0,40000,2022-08-31,0
682176,0,0,0,470000,2022-08-31,0
669431,0,0,0,494000,2022-08-31,0
669428,0,0,0,424000,2022-08-31,0
644438,0,0,0,57000,2022-08-31,0
688286,0,0,0,317000,2022-08-31,0
636754,0,0,0,545000,2022-08-31,0
699641,0,0,0,278000,2022-08-31,0
695030,0,0,0,614000,2022-08-31,0
622412,0,0,0,65000,2022-08-31,0
609992,0,0,0,521000,2022-08-31,0
622422,0,0,0,258000,2022-08-31,0
676364,0,0,0,291000,2022-08-31,0
629876,0,0,0,255000,2022-08-31,0
622404,0,0,0,235000,2022-08-31,0
634728,0,0,0,137000,2022-08-31,0
649938,0,0,0,440000,2022-08-31,0
629701,0,0,0,154000,2022-08-31,0
619645,0,0,0,125000,2022-08-31,0
676353,0,0,0,273000,2022-08-31,0
606025,0,0,0,370000,2022-08-31,0
606076,0,0,0,212000,2022-08-31,0
619726,0,0,0,632000,2022-08-31,0
619177,0,0,0,388000,2022-08-31,0
689189,0,0,0,321000,2022-08-31,0
659659,0,0,0,266000,2022-08-31,0
634708,0,0,0,467000,2022-08-31,0
699005,0,0,0,443000,2022-08-31,0
606140,0,0,0,545000,2022-08-31,0
698705,0,0,0,377000,2022-08-31,0
606125,0,0,0,121000,2022-08-31,0
634991,0,0,0,66000,2022-08-31,0
690258,0,0,0,70000,2022-08-31,0
608007,0,0,0,234000,2022-08-31,0
683750,0,0,0,282000,2022-08-31,0
619160,0,0,0,469000,2022-08-31,0
682758,0,0,0,66000,2022-08-31,0
608018,0,0,0,144000,2022-08-31,0
646840,0,0,0,288000,2022-08-31,0
658916,0,0,0,398000,2022-08-31,0
698718,0,0,0,348000,2022-08-31,0
682271,0,0,0,152000,2022-08-31,0
628617,0,0,0,87000,2022-08-31,0
635750,0,0,0,396000,2022-08-31,0
646864,0,0,0,307000,2022-08-31,0
634802,0,0,0,249000,2022-08-31,0
644007,0,0,0,621000,2022-08-31,0
619610,0,0,0,492000,2022-08-31,0
635272,0,0,0,48000,2022-08-31,0
660498,0,0,0,124000,2022-08-31,0
691474,0,0,0,228000,2022-08-31,0
692850,0,0,0,290000,2022-08-31,0
635755,0,0,0,426000,2022-08-31,0
649922,0,0,0,111000,2022-08-31,0
607549,0,0,0,180000,2022-08-31,0
619239,0,0,0,348000,2022-08-31,0
688263,0,0,0,138000,2022-08-31,0
609856,0,0,0,123000,2022-08-31,0
634914,0,0,0,228000,2022-08-31,0
623376,0,0,0,295000,2022-08-31,0
641549,0,0,0,36000,2022-08-31,0
634702,0,0,0,560000,2022-08-31,0
609409,0,0,0,106000,2022-08-31,0
688211,0,0,0,295000,2022-08-31,0
634660,0,0,0,61000,2022-08-31,0
636082,0,0,0,100000,2022-08-31,0
634825,0,0,0,185000,2022-08-31,0
634966,0,0,0,523000,2022-08-31,0
644879,0,0,0,569000,2022-08-31,0
635220,0,0,0,440000,2022-08-31,0
683250,0,0,0,400000,2022-08-31,0
699059,0,0,0,248000,2022-08-31,0
622399,0,0,0,50000,2022-08-31,0
628636,0,0,0,417000,2022-08-31,0
648149,0,0,0,165000,2022-08-31,0
678299,0,0,0,507000,2022-08-31,0
644984,0,0,0,102000,2022-08-31,0
682243,0,0,0,0,2022-08-31,0
695177,0,0,0,304000,2022-08-31,0
634894,0,0,0,358000,2022-08-31,0
609289,0,0,0,406000,2022-08-31,0
644742,0,0,0,327000,2022-08-31,0
667141,0,0,0,197000,2022-08-31,0
667822,0,0,0,458000,2022-08-31,0
634669,0,0,0,131000,2022-08-31,0
607722,0,0,0,107000,2022-08-31,0
606016,0,0,0,232000,2022-08-31,0
693969,0,0,0,397000,2022-08-31,0
636080,0,0,0,11000,2022-08-31,0
609945,0,0,0,268000,2022-08-31,0
639729,0,0,0,496000,2022-08-31,0
686156,0,0,0,231000,2022-08-31,0
698671,0,0,0,282000,2022-08-31,0
609331,0,0,0,215000,2022-08-31,0
658874,0,0,0,300000,2022-08-31,0
634789,0,0,0,153000,2022-08-31,0
698634,0,0,0,191000,2022-08-31,0
698703,0,0,0,136000,2022-08-31,0
636045,0,0,0,137000,2022-08-31,0
683709,0,0,0,40000,2022-08-31,0
691462,0,0,0,255000,2022-08-31,0
605390,0,0,0,625000,2022-08-31,0
634767,0,0,0,66000,2022-08-31,0
699004,0,0,0,489000,2022-08-31,0
658881,0,0,0,145000,2022-08-31,0
606037,0,0,0,108000,2022-08-31,0
640050,0,0,0,200000,2022-08-31,0
665298,0,0,0,355000,2022-08-31,0
659675,0,0,0,70000,2022-08-31,0
637505,0,0,0,110000,2022-08-31,0
636079,0,0,0,252000,2022-08-31,0
606162,0,0,0,210000,2022-08-31,0
637527,0,0,0,179000,2022-08-31,0
699579,0,0,0,236000,2022-08-31,0
699578,0,0,0,47000,2022-08-31,0
659670,0,0,0,218000,2022-08-31,0
638409,0,0,0,684000,2022-08-31,0
665568,0,0,0,313000,2022-08-31,0
698944,0,0,0,319000,2022-08-31,0
609093,0,0,0,463000,2022-08-31,0
669277,0,0,0,52000,2022-08-31,0
637556,0,0,0,440000,2022-08-31,0
640029,0,0,0,503000,2022-08-31,0
609806,0,0,0,82000,2022-08-31,0
608038,0,0,0,127000,2022-08-31,0
687682,0,0,0,233000,2022-08-31,0
635236,0,0,0,389000,2022-08-31,0
693091,0,0,0,195000,2022-08-31,0
633056,0,0,0,606000,2022-08-31,0
622351,0,0,0,172000,2022-08-31,0
676359,0,0,0,478000,2022-08-31,0
698690,0,0,0,22000,2022-08-31,0
689139,0,0,0,193000,2022-08-31,0
608072,0,0,0,490000,2022-08-31,0
659661,0,0,0,122000,2022-08-31,0
635593,0,0,0,319000,2022-08-31,0
635732,0,0,0,548000,2022-08-31,0
636764,0,0,0,509000,2022-08-31,0
661160,0,0,0,422000,2022-08-31,0
635244,0,0,0,622000,2022-08-31,0
634778,0,0,0,432000,2022-08-31,0
698978,0,0,0,366000,2022-08-31,0
628877,0,0,0,72000,2022-08-31,0
639710,0,0,0,180000,2022-08-31,0
667132,0,0,0,135000,2022-08-31,0
687691,0,0,0,369000,2022-08-31,0
622434,0,0,0,421000,2022-08-31,0
648080,0,0,0,587000,2022-08-31,0
634875,0,0,0,44000,2022-08-31,0
649726,0,0,0,195000,2022-08-31,0
635585,0,0,0,100000,2022-08-31,0
635777,0,0,0,485000,2022-08-31,0
606186,0,0,0,460000,2022-08-31,0
607032,0,0,0,90000,2022-08-31,0
606511,0,0,0,67000,2022-08-31,0
693238,0,0,0,142000,2022-08-31,0
645408,0,0,0,171000,2022-08-31,0
607572,0,0,0,603000,2022-08-31,0
606506,0,0,0,438000,2022-08-31,0
661120,0,0,0,209000,2022-08-31,0
646076,0,0,0,243000,2022-08-31,0
622276,0,0,0,313000,2022-08-31,0
635572,0,0,0,485000,2022-08-31,0
635746,0,0,0,334000,2022-08-31,0
690892,0,0,0,167000,2022-08-31,0
636095,0,0,0,150000,2022-08-31,0
634986,0,0,0,137000,2022-08-31,0
638485,0,0,0,335000,2022-08-31,0
609401,0,0,0,176000,2022-08-31,0
609108,0,0,0,398000,2022-08-31,0
688367,0,0,0,289000,2022-08-31,0
636071,0,0,0,265000,2022-08-31,0
646576,0,0,0,88000,2022-08-31,0
636763,0,0,0,133000,2022-08-31,0
636047,0,0,0,176000,2022-08-31,0
635522,0,0,0,213000,2022-08-31,0
698685,0,0,0,327000,2022-08-31,0
609990,0,0,0,127000,2022-08-31,0
637191,0,0,0,228000,2022-08-31,0
628995,0,0,0,262000,2022-08-31,0
640031,0,0,0,147000,2022-08-31,0
690848,0,0,0,540000,2022-08-31,0
676398,0,0,0,259000,2022-08-31,0
662471,0,0,0,467000,2022-08-31,0
634949,0,0,0,45000,2022-08-31,0
699449,0,0,0,398000,2022-08-31,0
679110,0,0,0,34000,2022-08-31,0
682753,0,0,0,167000,2022-08-31,0
634715,0,0,0,222000,2022-08-31,0
619713,0,0,0,197000,2022-08-31,0
634691,0,0,0,444000,2022-08-31,0
688254,0,0,0,453000,2022-08-31,0
698681,0,0,0,160000,2022-08-31,0
634747,0,0,0,272000,2022-08-31,0
607046,0,0,0,297000,2022-08-31,0
606541,0,0,0,44000,2022-08-31,0
644466,0,0,0,216000,2022-08-31,0
658922,0,0,0,230000,2022-08-31,0
649727,0,0,0,531000,2022-08-31,0
688338,0,0,0,338000,2022-08-31,0
608074,0,0,0,302000,2022-08-31,0
634775,0,0,0,472000,2022-08-31,0
607799,0,0,0,216000,2022-08-31,0
635577,0,0,0,127000,2022-08-31,0
606122,0,0,0,70000,2022-08-31,0
608041,0,0,0,291000,2022-08-31,0
627738,0,0,0,416000,2022-08-31,0
609961,0,0,0,609000,2022-08-31,0
607785,0,0,0,535000,2022-08-31,0
634952,0,0,0,346000,2022-08-31,0
616793,0,0,0,345000,2022-08-31,0
636065,0,0,0,241000,2022-08-31,0
609485,0,0,0,135000,2022-08-31,0
698658,0,0,0,20000,2022-08-31,0
679109,0,0,0,35000,2022-08-31,0
649851,0,0,0,186000,2022-08-31,0
636468,0,0,0,195000,2022-08-31,0
692541,0,0,0,100000,2022-08-31,0
607599,0,0,0,101000,2022-08-31,0
634977,0,0,0,146000,2022-08-31,0
606160,0,0,0,210000,2022-08-31,0
